title,date,span,location,disease,toll
1971 Staphorst polio epidemic,,1971,Staphorst; Netherlands,Poliomyelitis,5
1972 Yugoslav smallpox outbreak,,1972,Yugoslavia,Smallpox,35
London flu,,1972-1973,United States,Influenza A virus subtype H3N2,1027
1973 Italy Cholera El Tor epidemic,,1973,Italy,Cholera (El Tor strain),24
1974 smallpox epidemic of India,,1974,India,Smallpox,15000
HIV/AIDS pandemic,,1981-present (data as of 2018[update]),Worldwide,HIV/AIDS,32000001
1984 Western Sahara plague,,1984,Western Sahara,Bubonic plague,64
1986 Oju yellow fever epidemic,,1986,Oju; Nigeria,Yellow fever,5600
1987 Mali yellow fever epidemic,,1987,Mali,Yellow fever,145
1991 Bangladesh cholera epidemic,,1991,Bangladesh,Cholera,8921
1994 plague in India,,1994,India,Bubonic plague and Pneumonic plague,56
United Kingdom BSE outbreak,,1996-2001,United Kingdom,vCJD,178
1996 West Africa meningitus epidemic,,1996,West Africa,Meningitis,10000
1998-99 Malaysia Nipah virus outbreak,,1998-1999,Malaysia,Nipah virus infection,105
2000 Central America dengue epidemic,,2000,Central America,Dengue fever,40
2001 Nigeria cholera epidemic,,2001,Nigeria,Cholera,401
2001 South Africa cholera epidemic,,2001,South Africa,Cholera,139
2002-04 SARS outbreak,,2002-2004,Worldwide,Severe acute respiratory syndrome (SARS),774
2003 Algeria plague outbreak,,2003,Algeria,Bubonic plague,1
Avian influenza,,2003-2019,Southeast Asia and Egypt,Influenza A virus subtype H5N1,455
2004 Afghanistan leishmaniasis epidemic,,2004,Afghanistan,Leishmaniasis,0
2004 Indonesia dengue epidemic,,2004,Indonesia,Dengue fever,658
2004 Senegal cholera outbreak,,2004,Senegal,Cholera,2
2004 Sudan ebola outbreak,,2004,Sudan,Ebola,7
2005 dengue outbreak in Singapore,,2005,Singapore,Dengue fever,27
2006 Luanda cholera epidemic,,2006,Luanda; Angola,Cholera,1200
2006 Ituri Province plague epidemic,,2006,Ituri Province; Democratic Republic of the Congo,Bubonic plague,61
2006 India malaria outbreak,,2006,India,Malaria,17
2006 dengue outbreak in India,,2006,India,Dengue fever,50
Chikungunya outbreaks,,2006,India,Chikungunya virus,0
2006 dengue outbreak in Pakistan,,2006,Pakistan,Dengue fever,50
2006 Philippines dengue epidemic,,2006,Philippines,Dengue fever,1000
2006-07 East Africa Rift Valley fever outbreak,,2006-2007,East Africa,Rift Valley fever,394
Mweka; Democratic Republic of the Congo,,2007,Democratic Republic of the Congo,Ebola,187
2007 Ethiopia cholera epidemic,,2007,Ethiopia,Cholera,684
2007 Iraq cholera outbreak,,2007,Iraq,Cholera,10
2007 Nigeria polio outbreak,,2007,Nigeria,Poliomyelitis,0
2007 Puerto Rico; Dominican Republic; and Mexico dengue fever epidemic,,2007,Puerto Rico; Dominican Republic; Mexico,Dengue fever,183
2007 Uganda ebola outbreak,,2007,Uganda,Ebola,37
2007 Vietnam cholera outbreak,,2007,Vietnam,Cholera,2
2008 Brazil dengue epidemic,,2008,Brazil,Dengue fever,67
2008 Cambodia dengue epidemic,,2008,Cambodia,Dengue fever,407
2008 Chad cholera epidemic,,2008,Chad,Cholera,123
2008-2017 China hand; foot; and mouth disease epidemic,,2008-2017,China,Hand; foot; and mouth disease,3322
2008 India cholera epidemic,,2008,India,Cholera,115
2008 Madagascar plague outbreak,,2008,Madagascar,Bubonic plague,18
2008 Philippines dengue epidemic,,2008,Philippines,Dengue fever,172
2008-09 Zimbabwean cholera outbreak,,2008-2009,Zimbabwe,Cholera,4293
2009 Bolivian dengue fever epidemic,,2009,Bolivia,Dengue fever,18
2009 Gujarat hepatitis outbreak,,2009,India,Hepatitis B,49
Queensland 2009 dengue outbreak,,2009,Queensland; Australia,Dengue fever,1.1
Mumps outbreaks in the 2000s,,2009,Worldwide,Mumps,0
2009-10 West African meningitis outbreak,,2009-2010,West Africa,Meningitis,1100
2009 swine flu pandemic,,2009-2010,Worldwide,Influenza A virus subtype H1N1,284000
2010s Haiti cholera outbreak,,2010-2019,Haiti,Cholera (strain serogroup O1; serotype Ogawa),10075
2010-2014 Democratic Republic of the Congo measles outbreak,,2010-2014,Democratic Republic of the Congo,Measles,4501
2011 Vietnam hand; foot and mouth disease epidemic,,2011,Vietnam,Hand; foot and mouth disease,170
2011 dengue outbreak in Pakistan,,2011,Pakistan,Dengue fever,350
2012 yellow fever outbreak in Darfur; Sudan,,2012,Darfur; Sudan,Yellow fever,171
2012 Middle East respiratory syndrome coronavirus outbreak,,2012-present,Worldwide,Middle East respiratory syndrome / MERS-CoV,862
2013 dengue outbreak in Singapore,,2013,Singapore,Dengue fever,8
2013 Vietnam Measles outbreak,,2013-2014,Vietnam,Measles,142
Western African Ebola virus epidemic,,2013-2016,Worldwide; primarily concentrated in Guinea; Liberia; Sierra Leone,Ebola virus disease  Ebola virus virion,11301
2013-14 chikungunya outbreak,,2013-2015,Americas,Chikungunya,183
Avian influenza,,2013-2019,China,Influenza A virus subtype H7N9,616
2014 Madagascar plague outbreak,,2014-2017,Madagascar,Bubonic plague,292
2014 Odisha jaundice outbreak,,2014-2015,India,Primarily Hepatitis E; but also Hepatitis A,36
2015 Indian swine flu outbreak,,2015,India,Influenza A virus subtype H1N1,2035
2015-16 Zika virus epidemic,,2015-2016,Worldwide,Zika virus,53
2016 Angola and DR Congo yellow fever outbreak,,2016,Angola and DR Congo,Yellow fever,498
2016-20 Yemen cholera outbreak,,2016-present,Yemen,Cholera,3886
2017 dengue outbreak in Peshawar,,2017,Peshawar; Pakistan,Dengue fever,69
2017 Gorakhpur Japanese encephalitis outbreak,,2017,India,Japanese encephalitis,1317
2017-18 United States flu season,,2017-2018,United States,Seasonal influenza,61000
2018 Nipah virus outbreak in Kerala,,2018,India,Nipah virus infection,17
Kivu Ebola epidemic,,2018-2020,Democratic Republic of the Congo and Uganda,Ebola virus disease,2271
2019 measles outbreak in the Democratic Republic of the Congo,,2019-present,Democratic Republic of the Congo,Measles,6400
2019-2020 New Zealand measles outbreak,,2019-present,New Zealand,Measles,2
2019 Philippines measles outbreak,,2019-present,Philippines,Measles,415
2019 Kuala Koh measles outbreak,,2019,Kuala Koh; Malaysia,Measles,15
2019 Samoa measles outbreak,,2019-present,Samoa,Measles,83
2019-20 dengue fever epidemic,,2019-present,Asia-Pacific; Latin America,Dengue fever,3930
COVID-19 pandemic,,2019-present,Worldwide,COVID-19 / SARS-CoV-2  SARS-CoV-2 virus,546128
